Date,Day,WLEMUINDXD
06/10/2018,Sat,21.81
07/10/2018,Sun,10.82
08/10/2018,Mon,11.81
09/10/2018,Tue,8.24
10/10/2018,Wed,12.39
11/10/2018,Thu,17.95
12/10/2018,Fri,99.73
13/10/2018,Sat,97.6
14/10/2018,Sun,31.7
15/10/2018,Mon,11.26
16/10/2018,Tue,25.41
17/10/2018,Wed,18.6
18/10/2018,Thu,65.72
19/10/2018,Fri,56.79
20/10/2018,Sat,21.66
21/10/2018,Sun,41.63
22/10/2018,Mon,22.38
23/10/2018,Tue,17.08
24/10/2018,Wed,108.69
25/10/2018,Thu,156.69
26/10/2018,Fri,150.53
27/10/2018,Sat,21.89
28/10/2018,Sun,81.97
29/10/2018,Mon,33.72
30/10/2018,Tue,25.24
31/10/2018,Wed,54.95
01/11/2018,Thu,47.78
02/11/2018,Fri,35.14
03/11/2018,Sat,42.77
04/11/2018,Sun,144.13
05/11/2018,Mon,79.17
06/11/2018,Tue,55.86
07/11/2018,Wed,53.53
08/11/2018,Thu,141.71
09/11/2018,Fri,21.53
10/11/2018,Sat,10.99
11/11/2018,Sun,21.11
12/11/2018,Mon,12.35
13/11/2018,Tue,71.71
14/11/2018,Wed,32.18
15/11/2018,Thu,12.56
16/11/2018,Fri,7.27
17/11/2018,Sat,11.47
18/11/2018,Sun,32.31
19/11/2018,Mon,11.72
20/11/2018,Tue,42.68
21/11/2018,Wed,71.23
22/11/2018,Thu,57.25
23/11/2018,Fri,9.06
24/11/2018,Sat,12.88
25/11/2018,Sun,45.25
26/11/2018,Mon,71.71
27/11/2018,Tue,122.19
28/11/2018,Wed,25.85
29/11/2018,Thu,52
30/11/2018,Fri,59.69
01/12/2018,Sat,35.02
02/12/2018,Sun,289.51
03/12/2018,Mon,218.99
04/12/2018,Tue,60.86
05/12/2018,Wed,139.65
06/12/2018,Thu,75.46
07/12/2018,Fri,136.77
08/12/2018,Sat,155.75
09/12/2018,Sun,88.41
10/12/2018,Mon,31.1
11/12/2018,Tue,60.2
12/12/2018,Wed,44.39
13/12/2018,Thu,43.84
14/12/2018,Fri,37.87
15/12/2018,Sat,23.7
16/12/2018,Sun,148.15
17/12/2018,Mon,81.3
18/12/2018,Tue,78.69
19/12/2018,Wed,127.54
20/12/2018,Thu,104.2
21/12/2018,Fri,124.22
22/12/2018,Sat,239.05
23/12/2018,Sun,343.07
24/12/2018,Mon,217.14
25/12/2018,Tue,306.29
26/12/2018,Wed,308.66
27/12/2018,Thu,175
28/12/2018,Fri,282.74
29/12/2018,Sat,226.67
30/12/2018,Sun,274.06
31/12/2018,Mon,154.52
01/01/2019,Tue,200.86
02/01/2019,Wed,168.81
03/01/2019,Thu,265.43
04/01/2019,Fri,157.68
05/01/2019,Sat,111
06/01/2019,Sun,244.26
07/01/2019,Mon,153.69
08/01/2019,Tue,185.62
09/01/2019,Wed,109.68
10/01/2019,Thu,136.76
11/01/2019,Fri,124.88
12/01/2019,Sat,97.06
13/01/2019,Sun,136.09
14/01/2019,Mon,90.3
15/01/2019,Tue,85.64
16/01/2019,Wed,492.31
17/01/2019,Thu,139.37
18/01/2019,Fri,217.37
19/01/2019,Sat,228.92
20/01/2019,Sun,274.29
21/01/2019,Mon,154.86
22/01/2019,Tue,159.42
23/01/2019,Wed,180.21
24/01/2019,Thu,97.13
25/01/2019,Fri,119.4
26/01/2019,Sat,73.39
27/01/2019,Sun,180.95
28/01/2019,Mon,45.53
29/01/2019,Tue,86.39
30/01/2019,Wed,76.42
31/01/2019,Thu,142.96
01/02/2019,Fri,88.78
02/02/2019,Sat,83.78
03/02/2019,Sun,66.15
04/02/2019,Mon,118.31
05/02/2019,Tue,102.39
06/02/2019,Wed,153.76
07/02/2019,Thu,18.94
08/02/2019,Fri,7.47
09/02/2019,Sat,47.38
10/02/2019,Sun,32.66
11/02/2019,Mon,66.98
12/02/2019,Tue,25.83
13/02/2019,Wed,19.28
14/02/2019,Thu,6.3
15/02/2019,Fri,29.16
16/02/2019,Sat,35.55
17/02/2019,Sun,53.39
18/02/2019,Mon,12.55
19/02/2019,Tue,26.18
20/02/2019,Wed,31.77
21/02/2019,Thu,62.04
22/02/2019,Fri,29.54
23/02/2019,Sat,34.92
24/02/2019,Sun,53.18
25/02/2019,Mon,23.22
26/02/2019,Tue,42.85
27/02/2019,Wed,66.43
28/02/2019,Thu,62.04
01/03/2019,Fri,50.88
02/03/2019,Sat,23.08
03/03/2019,Sun,10.62
04/03/2019,Mon,23.3
05/03/2019,Tue,8.86
06/03/2019,Wed,6.45
07/03/2019,Thu,37.71
08/03/2019,Fri,66.65
09/03/2019,Sat,47.41
10/03/2019,Sun,110.55
11/03/2019,Mon,21.72
12/03/2019,Tue,26.23
13/03/2019,Wed,12.95
14/03/2019,Thu,30.81
15/03/2019,Fri,53.12
16/03/2019,Sat,61.29
17/03/2019,Sun,88.7
18/03/2019,Mon,47.71
19/03/2019,Tue,52.19
20/03/2019,Wed,49.81
21/03/2019,Thu,19.41
22/03/2019,Fri,30.41
23/03/2019,Sat,36.66
24/03/2019,Sun,43.2
25/03/2019,Mon,36.37
26/03/2019,Tue,24.66
27/03/2019,Wed,32.01
28/03/2019,Thu,109.02
29/03/2019,Fri,52.4
30/03/2019,Sat,60.81
31/03/2019,Sun,33.17
01/04/2019,Mon,88.02
02/04/2019,Tue,203.52
03/04/2019,Wed,43.03
04/04/2019,Thu,50.15
05/04/2019,Fri,47.02
06/04/2019,Sat,27.06
07/04/2019,Sun,71.75
08/04/2019,Mon,13.86
09/04/2019,Tue,10.53
10/04/2019,Wed,25.7
11/04/2019,Thu,8.43
12/04/2019,Fri,9.47
13/04/2019,Sat,53.91
14/04/2019,Sun,62.25
15/04/2019,Mon,71.49
16/04/2019,Tue,10.89
17/04/2019,Wed,8.74
18/04/2019,Thu,33.23
19/04/2019,Fri,39.05
20/04/2019,Sat,13.75
21/04/2019,Sun,38.63
22/04/2019,Mon,44.26
23/04/2019,Tue,21.36
24/04/2019,Wed,63.16
25/04/2019,Thu,40.07
26/04/2019,Fri,18.76
27/04/2019,Sat,67.13
28/04/2019,Sun,36.82
29/04/2019,Mon,28.45
30/04/2019,Tue,31.23
01/05/2019,Wed,82.22
02/05/2019,Thu,17.62
03/05/2019,Fri,47.29
04/05/2019,Sat,80.33
05/05/2019,Sun,49.2
06/05/2019,Mon,173.8
07/05/2019,Tue,135.4
08/05/2019,Wed,155.19
09/05/2019,Thu,79.69
10/05/2019,Fri,75.69
11/05/2019,Sat,13.66
12/05/2019,Sun,12.35
13/05/2019,Mon,146.16
14/05/2019,Tue,171.61
15/05/2019,Wed,164.98
16/05/2019,Thu,72.19
17/05/2019,Fri,77.38
18/05/2019,Sat,83.17
19/05/2019,Sun,50.33
20/05/2019,Mon,73.41
21/05/2019,Tue,32.29
22/05/2019,Wed,34.9
23/05/2019,Thu,8.88
24/05/2019,Fri,59.79
25/05/2019,Sat,14.21
26/05/2019,Sun,25.05
27/05/2019,Mon,22.32
28/05/2019,Tue,12.16
29/05/2019,Wed,18.25
30/05/2019,Thu,17.79
31/05/2019,Fri,39.63
01/06/2019,Sat,71.14
02/06/2019,Sun,52.44
03/06/2019,Mon,13.66
04/06/2019,Tue,45.03
