"","Date","Price","MA_50","OBV","ThreemTbill","RSI","Tenyrbond","MACDSignal","mfi","macd","be_inflation","OVX"
"66","10/05/2018",9043.94043,8596.11917009999,84872172544,1.86,52.4941915397107,3.0597,-345.267894640306,52.2707865486404,-90.8680824659532,2.17,26.610001
"67","11/05/2018",8441.490234,8543.22096697999,76383652352,1.88,45.1588952451159,3.0565,-236.900426876503,46.1354791405561,196.569444178705,2.15,25.74
"68","14/05/2018",8716.790039,8486.09077155999,83747802112,1.9,48.687469637335,3.0698,-148.104778645307,44.1203629618137,207.077814279477,2.15,25.93
"69","15/05/2018",8510.379883,8440.70036141999,77042092032,1.89,46.2829730057008,3.1299,-63.7818274020101,45.9077977758622,273.509977571179,2.18,26.610001
"70","16/05/2018",8368.830078,8408.76555671999,70281871872,1.88,44.6543027025725,3.1566,16.1675070769598,38.6957930456285,335.964844992839,2.17,25.73
"71","17/05/2018",8094.319824,8382.75175787999,64419341824,1.88,41.597200142696,3.1737,101.190950530108,39.520453591998,441.2847243427,2.16,25.110001
"72","18/05/2018",8250.969727,8361.02015631999,70183532032,1.87,43.9551712806184,3.1459,160.965972291712,37.4043019502654,400.066059338129,2.15,25.23
"73","21/05/2018",8418.990234,8345.29755865999,75338522112,1.9,46.4524184080083,3.1411,187.557987429424,43.3161703113103,293.926047980272,2.16,25.790001
"74","22/05/2018",8041.779785,8322.23616217999,70201511936,1.9,41.9348270943046,3.1404,223.37588417551,36.7567132208801,366.647471159851,2.15,25.889999
"75","23/05/2018",7557.819824,8307.99636725999,63710391808,1.88,36.9674361235807,3.0944,288.93448910581,26.9541955161626,551.168908827012,2.14,26.040001
"76","24/05/2018",7587.339844,8293.72595709999,69759611904,1.87,37.4541168123345,3.0637,347.859510730177,33.9020113464166,583.559597227647,2.12,25.370001
"77","25/05/2018",7480.140137,8276.56176765999,64891782144,1.86,36.3563231219136,3.0227,397.887238241358,35.3713446322649,597.99814828608,2.09,27.76
"78","28/05/2018",7135.990234,8246.66856451999,59851182080,1.1827,33.0111362809691,2.0949,456.425112251552,36.9545910135592,690.576608292329,2.03,43.06
"79","29/05/2018",7472.589844,8217.85096685999,65513842176,1.9,38.9297595268606,2.8845,477.387218483018,34.7002927001036,561.235643408882,2.04,29.040001
"80","30/05/2018",7406.52002,8187.39576179999,60591302144,1.9,38.2160232007232,2.9142,480.30933169284,36.0365022109566,491.997784532129,2.06,27.9
"81","31/05/2018",7494.169922,8162.70976569999,65718432256,1.89,39.7930379751241,2.9142,463.658777884284,43.8857105752889,397.05656265006,2.07,27.610001
"82","01/06/2018",7541.450195,8135.94636725999,70639892480,1.88,40.6727236866704,2.9614,433.348788085659,41.4152181565193,312.10882889116,2.09,28.65
"83","04/06/2018",7514.470215,8122.04776373999,65646722560,1.91,40.3107739277712,3.0033,399.555740135773,42.7747288219988,264.383548336226,2.12,29.49
"84","05/06/2018",7633.759766,8118.06215827999,70608462336,1.91,42.7371786431575,2.9913,356.112096409953,50.7284686560751,182.337521506674,2.13,29.299999
"85","06/06/2018",7653.97998,8112.05215827999,75300722176,1.91,43.1589695983765,3.0331,310.33254312398,58.1179674278781,127.214329980089,2.14,29.139999
"86","07/06/2018",7678.240234,8122.30295905999,79786522112,1.9,43.6948488332782,3.0097,265.45628086983,57.12293861018,85.9512318532297,2.13,28.049999
"87","08/06/2018",7624.919922,8136.99095709999,75558942208,1.89,42.7411028274209,3.0047,228.743275684139,50.2790437103049,81.8912549413762,2.11,27.59
"88","11/06/2018",6906.919922,8133.45335943999,70813672448,1.91,32.4648939161753,3.0223,250.582456804008,51.085100423777,337.939181283481,2.13,26.860001
"89","12/06/2018",6582.359863,8115.97835943999,66159292416,1.89,29.0632651345554,3.0357,309.539837225772,52.9160283395562,545.369358912827,2.13,26.58
"90","13/06/2018",6349.899902,8105.89956059999,61106942464,1.9,26.8900519045796,3.0591,384.458495978888,45.2014078400805,684.133130991356,2.12,27.08
"91","14/06/2018",6675.350098,8103.17715825999,66245652480,1.9,34.2973815828807,3.0325,423.43149377497,52.2799798098409,579.323484959294,2.12,26.690001
"92","15/06/2018",6456.580078,8099.58236333999,62290262528,1.9,31.9537216327591,3.0178,453.845211022932,53.3983364194827,575.50008001478,2.12,27.639999
"93","18/06/2018",6734.819824,8098.86416021999,66329462528,1.91,37.7774055319809,3.0107,449.767240619247,51.9080077281115,433.455359004506,2.12,27.58
"94","19/06/2018",6769.939941,8097.56776371999,70386492416,1.91,38.4929551388895,2.981,425.839441775348,58.8404100509337,330.128246399754,2.12,28.01
"95","20/06/2018",6776.549805,8093.73236333999,74275132416,1.9,38.6359849787721,2.9997,392.855752962488,57.7398062006649,260.920997711045,2.12,28.059999
"96","21/06/2018",6729.740234,8070.54216801999,70746002432,1.9,37.9627201390819,2.9826,360.424595596364,51.0293751814684,230.699966131869,2.11,27.780001
"97","22/06/2018",6083.689941,8034.29676761999,65666192384,1.89,30.1529235449163,2.9794,376.161535571511,51.8119471029966,439.1092954721,2.12,25.52
"98","25/06/2018",6249.180176,7998.10697269999,71167002624,1.9,33.9039377957771,2.9582,388.822488254821,51.4177331065621,439.466298988061,2.1,26.1
"99","26/06/2018",6093.669922,7961.93857425999,67887242752,1.9,32.156351654264,2.9544,404.526725346345,44.6893369871527,467.34367371244,2.12,25.67
"100","27/06/2018",6157.129883,7921.81277347999,71183462656,1.89,33.6591304640409,2.9183,408.621174706178,42.7227084775563,424.998972145509,2.11,27.690001
"101","28/06/2018",5903.439941,7873.99538089999,67715662592,1.89,30.7287815166105,2.9203,421.164136176303,44.0241791413682,471.335982056805,2.1,27.35
"102","29/06/2018",6218.299805,7821.44477543999,71681892608,1.89,37.9492029870059,2.9252,405.840176423958,51.4930902294085,344.54433741458,2.11,27.18
"103","02/07/2018",6614.180176,7775.11078129999,76078822656,1.95,45.6237124194344,2.9396,348.967247714229,59.4306516019328,121.47553287531,2.14,28.65
"104","03/07/2018",6529.589844,7711.75257817999,71406512896,1.94,44.36116514511,2.9148,288.719892261371,59.6801143349089,47.7304704499393,2.12,28.58
"105","04/07/2018",6597.549805,7666.78876959999,75583202816,1.1827,45.6621626155805,2.0949,228.510632409553,58.9412086868212,-12.3264069977176,2.03,43.06
"106","05/07/2018",6639.140137,7613.94137702,80582443008,1.92,46.4868379193134,2.9117,172.252689562605,66.5729262220336,-52.7790818251879,2.13,28.77
"107","06/07/2018",6673.5,7567.67038091999,84896402944,1.93,47.199789462403,2.8962,121.924434604335,66.7133989297516,-79.3885852287458,2.12,28.129999
"108","09/07/2018",6741.75,7517.69438481999,88614532864,1.95,48.6628656349208,2.9196,75.4091881457936,66.5004349319973,-110.651797688372,2.13,28.120001
"109","10/07/2018",6329.950195,7461.91319339999,84562102784,1.95,41.2378776777342,2.9339,67.1615222349713,59.5843774181222,34.1708585916822,2.13,26.9
"110","11/07/2018",6394.709961,7405.08899418,88206962688,1.93,42.7180746059425,2.918,67.9100254293626,65.8894432611296,70.9040382069279,2.11,28.559999
"111","12/07/2018",6228.810059,7334.78798832,84436792576,1.94,39.9423212829378,2.9185,82.912975855438,67.2237321159809,142.92477755974,2.1,27.809999
"112","13/07/2018",6238.049805,7265.5337891,88242192640,1.94,40.1754775137164,2.9007,98.5738885327454,66.2438005790827,161.217539241975,2.11,27.540001
"113","16/07/2018",6741.75,7212.90859378,92967992576,1.98,51.2796386212186,2.9102,73.6004098638253,72.7698840229493,-26.2935048118552,2.1,29.01
"114","17/07/2018",7321.040039,7174.6329883,98929942784,1.98,60.3863231662756,2.9207,-4.76001968515134,74.3961271052044,-318.201737881058,2.09,28
"115","18/07/2018",7370.779785,7135.54499024,105033352960,1.96,61.0593694906487,2.9269,-92.151968391916,80.8333471651009,-441.719763218975,2.09,27.24
"116","19/07/2018",7466.859863,7104.0033789,110144982784,1.96,62.3886989417075,2.9055,-173.926698430361,81.4366480043284,-501.025618584141,2.09,26.84
"117","20/07/2018",7354.129883,7082.25617188,105208112896,1.95,59.8088979015093,2.9327,-229.539116478309,73.4218817109081,-451.988788670104,2.11,26.01
"118","23/07/2018",7711.109863,7062.14256836,110340592896,1.96,64.7760499620526,2.9929,-289.931207008517,80.8138374864567,-531.499569129347,2.11,26.15
"119","24/07/2018",8424.269531,7060.42036132,117618282752,1.98,72.1745991581768,2.9995,-390.347528470759,82.1655780438801,-792.012814319729,2.11,25.65
"120","25/07/2018",8181.390137,7056.6715625,111772882688,1.97,67.0122067975008,2.9953,-464.887073806123,73.0077215067229,-763.045255147579,2.13,25.34
"121","26/07/2018",7951.580078,7053.81676758,106873792768,1.95,62.4599054979641,3.0305,-494.981513884194,65.82124524354,-615.359274196475,2.11,24.879999
"122","27/07/2018",8165.009766,7052.09756836,112069672704,1.96,64.8482373178097,3.0223,-513.704334394935,66.9594247511678,-588.595616437899,2.12,24.969999
"123","30/07/2018",8180.47998,7047.32736327999,117621072704,2.01,65.0219458395004,3.03,-519.649614605279,72.9078312119286,-543.430735446655,2.13,25.83
"124","31/07/2018",7780.439941,7042.10056639999,112333542704,1.99,57.1563707031164,3.0166,-483.909536421691,66.4106542868546,-340.949223687339,2.12,26.52
"125","01/08/2018",7624.910156,7043.44237303999,107535922704,1.99,54.401047326189,3.0433,-421.817568973182,64.8897884880995,-173.449699179147,2.13,26.450001
"126","02/08/2018",7567.149902,7043.03857419999,103321812704,1.98,53.3720319227574,3.0357,-351.078954941276,59.8858118228202,-68.1244988136532,2.12,25.73
"127","03/08/2018",7434.390137,7042.12357419999,98694662704,1.97,50.9848903897969,3.0092,-274.715836933227,54.1563281427206,30.7366350989705,2.12,25.610001
"128","06/08/2018",6951.799805,7038.43976561999,94768762704,2.02,43.3880740041587,2.9936,-170.077241709013,48.0125538635127,248.477139187844,2.11,25.42
"129","07/08/2018",6753.120117,7024.05037107999,90085962704,2.02,40.6994027070951,3.0154,-56.2387065777773,41.0364937862471,399.115433947165,2.13,25.219999
"130","08/08/2018",6305.799805,7002.03596677999,85021532704,2.02,35.3830643457434,3.0179,75.3693908337235,34.5224675306107,601.801780479726,2.11,26.41
"131","09/08/2018",6568.22998,6983.51716794,89288572704,2.02,40.309257054134,2.9922,170.953115556016,40.2590469493411,553.288014445188,2.11,25.4
"132","10/08/2018",6184.709961,6956.38236326,84759892704,2.01,35.9909164353308,2.942,263.963196811589,33.6306688963409,636.003521833877,2.09,25.450001
"133","13/08/2018",6297.569824,6932.04435544,88843872704,2.03,38.0927100032463,2.9303,328.783502211948,28.8221644926309,588.064723813383,2.1,25.309999
