Date,Day,USEPUINDXD
08/09/2018,Sat,89.41
09/09/2018,Sun,92.74
10/09/2018,Mon,47.25
11/09/2018,Tue,49.37
12/09/2018,Wed,40.31
13/09/2018,Thu,29.73
14/09/2018,Fri,36.1
15/09/2018,Sat,62.01
16/09/2018,Sun,103.72
17/09/2018,Mon,100.71
18/09/2018,Tue,71.72
19/09/2018,Wed,74.06
20/09/2018,Thu,54.24
21/09/2018,Fri,88.17
22/09/2018,Sat,74.22
23/09/2018,Sun,124.25
24/09/2018,Mon,89.13
25/09/2018,Tue,55.65
26/09/2018,Wed,37.16
27/09/2018,Thu,22.95
28/09/2018,Fri,52.38
29/09/2018,Sat,33.38
30/09/2018,Sun,83.77
01/10/2018,Mon,166.69
02/10/2018,Tue,130.93
03/10/2018,Wed,107.49
04/10/2018,Thu,119.36
05/10/2018,Fri,66.64
06/10/2018,Sat,66.47
07/10/2018,Sun,197.77
08/10/2018,Mon,112.49
09/10/2018,Tue,31.39
10/10/2018,Wed,58.99
11/10/2018,Thu,68.38
12/10/2018,Fri,103.11
13/10/2018,Sat,70.22
14/10/2018,Sun,92.58
15/10/2018,Mon,85.8
16/10/2018,Tue,109.71
17/10/2018,Wed,77.94
18/10/2018,Thu,100.13
19/10/2018,Fri,70.3
20/10/2018,Sat,61.88
21/10/2018,Sun,118.94
22/10/2018,Mon,89.49
23/10/2018,Tue,52.04
24/10/2018,Wed,73.6
25/10/2018,Thu,89.53
26/10/2018,Fri,65.53
27/10/2018,Sat,79.2
28/10/2018,Sun,136.61
29/10/2018,Mon,64.23
30/10/2018,Tue,51.28
31/10/2018,Wed,79.07
01/11/2018,Thu,84.17
02/11/2018,Fri,82.99
03/11/2018,Sat,77.39
04/11/2018,Sun,223.53
05/11/2018,Mon,90.47
06/11/2018,Tue,148.95
07/11/2018,Wed,61.17
08/11/2018,Thu,51.63
09/11/2018,Fri,41.01
10/11/2018,Sat,54.44
11/11/2018,Sun,64.34
12/11/2018,Mon,42.33
13/11/2018,Tue,64.87
14/11/2018,Wed,53.94
15/11/2018,Thu,55.04
16/11/2018,Fri,30.47
17/11/2018,Sat,34.95
18/11/2018,Sun,90.25
19/11/2018,Mon,10.92
20/11/2018,Tue,29.26
21/11/2018,Wed,46.86
22/11/2018,Thu,21.81
23/11/2018,Fri,24.17
24/11/2018,Sat,49.06
25/11/2018,Sun,168.06
26/11/2018,Mon,168.44
27/11/2018,Tue,93.08
28/11/2018,Wed,100.92
29/11/2018,Thu,183.21
30/11/2018,Fri,136.43
01/12/2018,Sat,142.31
02/12/2018,Sun,167.46
03/12/2018,Mon,158.49
04/12/2018,Tue,109.29
05/12/2018,Wed,83.26
06/12/2018,Thu,110.19
07/12/2018,Fri,101.45
08/12/2018,Sat,123.21
09/12/2018,Sun,130.49
10/12/2018,Mon,71.08
11/12/2018,Tue,88.44
12/12/2018,Wed,57.97
13/12/2018,Thu,121.67
14/12/2018,Fri,86.56
15/12/2018,Sat,90.26
16/12/2018,Sun,186.66
17/12/2018,Mon,101.75
18/12/2018,Tue,103.24
19/12/2018,Wed,114.17
20/12/2018,Thu,79.38
21/12/2018,Fri,144.91
22/12/2018,Sat,10.92
23/12/2018,Sun,261.36
24/12/2018,Mon,141.79
25/12/2018,Tue,171.11
26/12/2018,Wed,198.19
27/12/2018,Thu,161.1
28/12/2018,Fri,156.65
29/12/2018,Sat,116.81
30/12/2018,Sun,213.53
31/12/2018,Mon,149.82
01/01/2019,Tue,204.03
02/01/2019,Wed,146.97
03/01/2019,Thu,212.58
04/01/2019,Fri,153.15
05/01/2019,Sat,4.7
06/01/2019,Sun,230.39
07/01/2019,Mon,148.61
08/01/2019,Tue,259.25
09/01/2019,Wed,120.42
10/01/2019,Thu,148.84
11/01/2019,Fri,170.68
12/01/2019,Sat,175.61
13/01/2019,Sun,120.96
14/01/2019,Mon,223.58
15/01/2019,Tue,104.39
16/01/2019,Wed,173.46
17/01/2019,Thu,168.92
18/01/2019,Fri,154.17
19/01/2019,Sat,109
20/01/2019,Sun,178.48
21/01/2019,Mon,216.29
22/01/2019,Tue,107.95
23/01/2019,Wed,88.26
24/01/2019,Thu,106.06
25/01/2019,Fri,105.17
26/01/2019,Sat,107.16
27/01/2019,Sun,218.94
28/01/2019,Mon,73.71
29/01/2019,Tue,62.53
30/01/2019,Wed,123.71
31/01/2019,Thu,126.24
01/02/2019,Fri,95.81
02/02/2019,Sat,82.06
03/02/2019,Sun,134.38
04/02/2019,Mon,216.31
05/02/2019,Tue,87.75
06/02/2019,Wed,145.25
07/02/2019,Thu,93.79
08/02/2019,Fri,76.81
09/02/2019,Sat,49.63
10/02/2019,Sun,95.37
11/02/2019,Mon,59.53
12/02/2019,Tue,45.91
13/02/2019,Wed,93.01
14/02/2019,Thu,35.99
15/02/2019,Fri,55.54
16/02/2019,Sat,27.08
17/02/2019,Sun,10.92
18/02/2019,Mon,57.35
19/02/2019,Tue,79.79
20/02/2019,Wed,65.36
21/02/2019,Thu,87.44
22/02/2019,Fri,115.34
23/02/2019,Sat,93.12
24/02/2019,Sun,4.05
25/02/2019,Mon,84.03
26/02/2019,Tue,68.54
27/02/2019,Wed,128.81
28/02/2019,Thu,125.24
01/03/2019,Fri,110.76
02/03/2019,Sat,118.68
03/03/2019,Sun,101.11
04/03/2019,Mon,71.01
05/03/2019,Tue,138.38
06/03/2019,Wed,78.64
07/03/2019,Thu,138.86
08/03/2019,Fri,81.81
09/03/2019,Sat,67.73
10/03/2019,Sun,138.96
11/03/2019,Mon,161.35
12/03/2019,Tue,93.23
13/03/2019,Wed,81.38
14/03/2019,Thu,56.33
15/03/2019,Fri,66.48
16/03/2019,Sat,65.37
17/03/2019,Sun,101.36
18/03/2019,Mon,77.23
19/03/2019,Tue,82.83
20/03/2019,Wed,75.89
21/03/2019,Thu,91.17
22/03/2019,Fri,83.99
23/03/2019,Sat,102.4
24/03/2019,Sun,127.53
25/03/2019,Mon,69.27
26/03/2019,Tue,78.28
27/03/2019,Wed,92.66
28/03/2019,Thu,53.74
29/03/2019,Fri,91.25
30/03/2019,Sat,101.92
31/03/2019,Sun,134.75
01/04/2019,Mon,117.34
02/04/2019,Tue,130.56
03/04/2019,Wed,81.95
04/04/2019,Thu,82.78
05/04/2019,Fri,50.15
06/04/2019,Sat,108.22
07/04/2019,Sun,127.54
08/04/2019,Mon,58.07
09/04/2019,Tue,60.19
10/04/2019,Wed,71.78
11/04/2019,Thu,54.57
12/04/2019,Fri,75.79
13/04/2019,Sat,66.73
14/04/2019,Sun,161.23
15/04/2019,Mon,76.25
16/04/2019,Tue,58.1
17/04/2019,Wed,63.24
18/04/2019,Thu,56.96
19/04/2019,Fri,48.34
20/04/2019,Sat,52.37
21/04/2019,Sun,83.39
22/04/2019,Mon,78.68
23/04/2019,Tue,56.96
24/04/2019,Wed,60.14
25/04/2019,Thu,76.31
26/04/2019,Fri,67.89
27/04/2019,Sat,56.25
28/04/2019,Sun,107.52
29/04/2019,Mon,97.53
30/04/2019,Tue,75.34
01/05/2019,Wed,112.75
02/05/2019,Thu,30.2
03/05/2019,Fri,57.65
04/05/2019,Sat,71.39
05/05/2019,Sun,98.38
06/05/2019,Mon,93.78
07/05/2019,Tue,111.09
08/05/2019,Wed,101.81
09/05/2019,Thu,67.46
10/05/2019,Fri,108.12
11/05/2019,Sat,46.84
12/05/2019,Sun,155.26
13/05/2019,Mon,94.65
14/05/2019,Tue,126.65
15/05/2019,Wed,132.3
16/05/2019,Thu,94.72
17/05/2019,Fri,117.89
18/05/2019,Sat,95.04
